DATE,ALLJOBS
2/1/2020,100
2/2/2020,99.98
2/3/2020,99.97
2/4/2020,100.03
2/5/2020,100.12
2/6/2020,100.24
2/7/2020,100.2
2/8/2020,100.24
2/9/2020,100.23
2/10/2020,100.27
2/11/2020,100.24
2/12/2020,100.2
2/13/2020,100.13
2/14/2020,100.1
2/15/2020,99.81
2/16/2020,99.61
2/17/2020,99.39
2/18/2020,99.21
2/19/2020,98.98
2/20/2020,98.75
2/21/2020,98.54
2/22/2020,98.46
2/23/2020,98.42
2/24/2020,98.35
2/25/2020,98.31
2/26/2020,98.32
2/27/2020,98.37
2/28/2020,98.41
2/29/2020,98.55
3/1/2020,98.57
3/2/2020,98.6
3/3/2020,98.56
3/4/2020,98.46
3/5/2020,98.33
3/6/2020,98.19
3/7/2020,98.07
3/8/2020,97.95
3/9/2020,97.78
3/10/2020,97.72
3/11/2020,97.66
3/12/2020,97.55
3/13/2020,97.35
3/14/2020,97.11
3/15/2020,96.83
3/16/2020,96.61
3/17/2020,96.05
3/18/2020,95.34
3/19/2020,94.51
3/20/2020,93.47
3/21/2020,92.06
3/22/2020,90.78
3/23/2020,89.39
3/24/2020,88.11
3/25/2020,86.76
3/26/2020,85.37
3/27/2020,83.87
3/28/2020,82.67
3/29/2020,81.35
3/30/2020,80.13
3/31/2020,78.9
4/1/2020,77.65
4/2/2020,76.45
4/3/2020,75.54
4/4/2020,74.36
4/5/2020,73.12
4/6/2020,72.02
4/7/2020,70.89
4/8/2020,70.05
4/9/2020,69.2
4/10/2020,68.3
4/11/2020,67.73
4/12/2020,67.18
4/13/2020,66.56
4/14/2020,66.07
4/15/2020,65.48
4/16/2020,64.98
4/17/2020,64.53
4/18/2020,64.17
4/19/2020,63.8
4/20/2020,63.53
4/21/2020,63.25
4/22/2020,62.98
4/23/2020,62.73
4/24/2020,62.52
4/25/2020,62.36
4/26/2020,62.2
4/27/2020,61.96
4/28/2020,61.73
4/29/2020,61.55
4/30/2020,61.41
5/1/2020,61.31
5/2/2020,61.15
5/3/2020,60.97
5/4/2020,60.82
5/5/2020,60.75
5/6/2020,60.74
5/7/2020,60.73
5/8/2020,60.78
5/9/2020,60.97
5/10/2020,61.19
5/11/2020,61.34
5/12/2020,61.47
5/13/2020,61.24
5/14/2020,61.29
5/15/2020,61.47
5/16/2020,61.5
5/17/2020,61.54
5/18/2020,61.62
5/19/2020,61.71
5/20/2020,62.14
5/21/2020,62.43
5/22/2020,62.55
5/23/2020,62.79
5/24/2020,62.95
5/25/2020,63.11
5/26/2020,63.23
5/27/2020,63.34
5/28/2020,63.35
5/29/2020,63.53
5/30/2020,63.84
5/31/2020,64.1
6/1/2020,64.33
6/2/2020,64.64
6/3/2020,64.97
6/4/2020,65.35
6/5/2020,65.61
6/6/2020,65.8
6/7/2020,66.05
6/8/2020,66.31
6/9/2020,66.59
6/10/2020,66.82
6/11/2020,67.08
6/12/2020,67.3
6/13/2020,67.55
6/14/2020,67.9
6/15/2020,68.27
6/16/2020,68.64
6/17/2020,69
6/18/2020,69.39
6/19/2020,69.81
6/20/2020,70.29
6/21/2020,70.76
6/22/2020,71.26
6/23/2020,71.46
6/24/2020,71.71
6/25/2020,71.95
6/26/2020,72.13
6/27/2020,72.2
6/28/2020,72.2
6/29/2020,72.26
6/30/2020,72.57
7/1/2020,72.85
7/2/2020,73.09
7/3/2020,73.38
7/4/2020,73.66
7/5/2020,73.93
7/6/2020,74.16
7/7/2020,74.36
7/8/2020,74.67
7/9/2020,75.06
7/10/2020,75.42
7/11/2020,75.84
7/12/2020,76.24
7/13/2020,76.61
7/14/2020,77.04
7/15/2020,77.31
7/16/2020,77.51
7/17/2020,77.69
7/18/2020,77.72
7/19/2020,77.89
7/20/2020,78.07
7/21/2020,78.2
7/22/2020,78.45
7/23/2020,78.71
7/24/2020,79.09
7/25/2020,79.61
7/26/2020,79.99
7/27/2020,80.35
7/28/2020,80.7
7/29/2020,81.02
7/30/2020,81.34
7/31/2020,81.51
8/1/2020,81.62
8/2/2020,81.74
8/3/2020,81.88
8/4/2020,81.94
8/5/2020,82.05
8/6/2020,82.04
8/7/2020,82.06
8/8/2020,82.06
8/9/2020,82.03
8/10/2020,81.99
8/11/2020,82.04
8/12/2020,81.93
8/13/2020,81.9
8/14/2020,81.88
8/15/2020,81.77
8/16/2020,81.83
8/17/2020,81.87
8/18/2020,81.88
8/19/2020,82.01
8/20/2020,82.15
8/21/2020,82.24
8/22/2020,82.51
8/23/2020,82.62
8/24/2020,82.75
8/25/2020,82.91
8/26/2020,83.07
8/27/2020,83.17
8/28/2020,83.32
8/29/2020,83.51
8/30/2020,83.71
8/31/2020,83.91
9/1/2020,84.02
9/2/2020,84.1
9/3/2020,84.26
9/4/2020,84.39
9/5/2020,84.45
9/6/2020,84.55
9/7/2020,84.64
9/8/2020,84.72
9/9/2020,84.86
9/10/2020,85.05
9/11/2020,85.27
9/12/2020,85.44
9/13/2020,85.56
9/14/2020,85.69
9/15/2020,85.96
9/16/2020,86.19
9/17/2020,86.39
9/18/2020,86.58
9/19/2020,86.75
9/20/2020,86.97
9/21/2020,87.14
9/22/2020,87.31
9/23/2020,87.5
9/24/2020,87.64
9/25/2020,87.79
9/26/2020,87.96
9/27/2020,88.12
9/28/2020,88.37
9/29/2020,88.64
9/30/2020,88.92
10/1/2020,89.07
10/2/2020,89.24
10/3/2020,89.45
10/4/2020,89.63
10/5/2020,89.78
10/6/2020,89.83
10/7/2020,89.92
10/8/2020,90.17
10/9/2020,90.41
10/10/2020,90.65
10/11/2020,90.93
10/12/2020,91.19
10/13/2020,91.41
10/14/2020,91.56
10/15/2020,91.64
10/16/2020,91.64
10/17/2020,91.58
10/18/2020,91.58
10/19/2020,91.58
10/20/2020,91.67
10/21/2020,91.79
10/22/2020,91.93
10/23/2020,92.08
10/24/2020,92.32
10/25/2020,92.46
