DATE,SDJOBS
2/1/2020,100
2/2/2020,99.75
2/3/2020,99.55
2/4/2020,99.29
2/5/2020,99.22
2/6/2020,99.12
2/7/2020,99.01
2/8/2020,99.11
2/9/2020,99.21
2/10/2020,99.33
2/11/2020,99.39
2/12/2020,99.36
2/13/2020,99.34
2/14/2020,99.38
2/15/2020,99.31
2/16/2020,99.32
2/17/2020,99.28
2/18/2020,99.33
2/19/2020,99.32
2/20/2020,99.34
2/21/2020,99.32
2/22/2020,99.2
2/23/2020,99.29
2/24/2020,99.4
2/25/2020,99.54
2/26/2020,99.71
2/27/2020,99.91
2/28/2020,100.17
2/29/2020,100.61
3/1/2020,100.81
3/2/2020,101.02
3/3/2020,101.18
3/4/2020,101.29
3/5/2020,101.36
3/6/2020,101.37
3/7/2020,101.35
3/8/2020,101.25
3/9/2020,101.03
3/10/2020,100.93
3/11/2020,100.8
3/12/2020,100.69
3/13/2020,100.57
3/14/2020,100.49
3/15/2020,100.43
3/16/2020,100.43
3/17/2020,100.28
3/18/2020,100.09
3/19/2020,99.7
3/20/2020,99.1
3/21/2020,98.24
3/22/2020,97.48
3/23/2020,96.7
3/24/2020,95.96
3/25/2020,95.02
3/26/2020,93.99
3/27/2020,92.66
3/28/2020,91.44
3/29/2020,90.08
3/30/2020,88.78
3/31/2020,87.35
4/1/2020,85.96
4/2/2020,84.7
4/3/2020,83.91
4/4/2020,83.08
4/5/2020,82.21
4/6/2020,81.25
4/7/2020,80.29
4/8/2020,79.57
4/9/2020,78.85
4/10/2020,78.07
4/11/2020,77.5
4/12/2020,76.95
4/13/2020,76.48
4/14/2020,76.07
4/15/2020,75.55
4/16/2020,75.08
4/17/2020,74.62
4/18/2020,74.16
4/19/2020,73.65
4/20/2020,73.25
4/21/2020,72.9
4/22/2020,72.52
4/23/2020,72.17
4/24/2020,71.83
4/25/2020,71.49
4/26/2020,71.2
4/27/2020,70.83
4/28/2020,70.41
4/29/2020,70.01
4/30/2020,69.65
5/1/2020,69.29
5/2/2020,68.96
5/3/2020,68.55
5/4/2020,68.25
5/5/2020,68
5/6/2020,67.82
5/7/2020,67.62
5/8/2020,67.46
5/9/2020,67.33
5/10/2020,67.26
5/11/2020,67.07
5/12/2020,66.82
5/13/2020,66.28
5/14/2020,65.89
5/15/2020,65.66
5/16/2020,65.22
5/17/2020,64.84
5/18/2020,64.47
5/19/2020,64.1
5/20/2020,64.15
5/21/2020,64.17
5/22/2020,64.04
5/23/2020,64.09
5/24/2020,63.98
5/25/2020,63.89
5/26/2020,63.82
5/27/2020,63.65
5/28/2020,63.38
5/29/2020,63.26
5/30/2020,63.43
5/31/2020,63.43
6/1/2020,63.33
6/2/2020,63.41
6/3/2020,63.51
6/4/2020,63.61
6/5/2020,63.72
6/6/2020,63.71
6/7/2020,63.9
6/8/2020,64.16
6/9/2020,64.26
6/10/2020,64.35
6/11/2020,64.45
6/12/2020,64.46
6/13/2020,64.3
6/14/2020,64.27
6/15/2020,64.28
6/16/2020,64.31
6/17/2020,64.3
6/18/2020,64.38
6/19/2020,64.45
6/20/2020,64.66
6/21/2020,64.75
6/22/2020,64.82
6/23/2020,64.83
6/24/2020,64.85
6/25/2020,64.8
6/26/2020,64.73
6/27/2020,64.6
6/28/2020,64.54
6/29/2020,64.48
6/30/2020,64.4
7/1/2020,64.34
7/2/2020,64.35
7/3/2020,64.37
7/4/2020,64.42
7/5/2020,64.43
7/6/2020,64.45
7/7/2020,64.56
7/8/2020,64.83
7/9/2020,65.03
7/10/2020,65.27
7/11/2020,65.48
7/12/2020,65.68
7/13/2020,65.9
7/14/2020,66.18
7/15/2020,66.31
7/16/2020,66.42
7/17/2020,66.52
7/18/2020,66.42
7/19/2020,66.6
7/20/2020,66.78
7/21/2020,66.89
7/22/2020,67.04
7/23/2020,67.23
7/24/2020,67.42
7/25/2020,67.86
7/26/2020,68
7/27/2020,68.09
7/28/2020,68.13
7/29/2020,68.22
7/30/2020,68.31
7/31/2020,68.4
8/1/2020,68.55
8/2/2020,68.69
8/3/2020,68.91
8/4/2020,69.14
8/5/2020,69.27
8/6/2020,69.36
8/7/2020,69.29
8/8/2020,69.34
8/9/2020,69.47
8/10/2020,69.57
8/11/2020,69.72
8/12/2020,69.67
8/13/2020,69.63
8/14/2020,69.79
8/15/2020,69.57
8/16/2020,69.56
8/17/2020,69.54
8/18/2020,69.48
8/19/2020,69.64
8/20/2020,69.8
8/21/2020,69.91
8/22/2020,70.24
8/23/2020,70.35
8/24/2020,70.46
8/25/2020,70.63
8/26/2020,70.86
8/27/2020,71.08
8/28/2020,71.27
8/29/2020,71.39
8/30/2020,71.5
8/31/2020,71.6
9/1/2020,71.54
9/2/2020,71.58
9/3/2020,71.63
9/4/2020,71.75
9/5/2020,71.92
9/6/2020,72.14
9/7/2020,72.36
9/8/2020,72.64
9/9/2020,72.78
9/10/2020,72.93
9/11/2020,73.05
9/12/2020,73.1
9/13/2020,73.09
9/14/2020,73.08
9/15/2020,73.15
9/16/2020,73.24
9/17/2020,73.36
9/18/2020,73.39
9/19/2020,73.5
9/20/2020,73.68
9/21/2020,73.83
9/22/2020,74.02
9/23/2020,74.19
9/24/2020,74.33
9/25/2020,74.61
9/26/2020,74.82
9/27/2020,75.01
9/28/2020,75.25
9/29/2020,75.47
9/30/2020,75.7
10/1/2020,75.87
10/2/2020,76.01
10/3/2020,76.21
10/4/2020,76.35
10/5/2020,76.47
10/6/2020,76.53
10/7/2020,76.57
10/8/2020,76.71
10/9/2020,76.84
10/10/2020,76.83
10/11/2020,76.97
10/12/2020,77.07
10/13/2020,77.17
10/14/2020,77.29
10/15/2020,77.41
10/16/2020,77.45
10/17/2020,77.61
10/18/2020,77.71
10/19/2020,77.87
10/20/2020,78.08
10/21/2020,78.36
10/22/2020,78.54
10/23/2020,78.74
10/24/2020,78.95
10/25/2020,79.1
10/26/2020,79.23
10/27/2020,79.41
10/28/2020,79.54
10/29/2020,79.66
10/30/2020,79.69
10/31/2020,79.85
11/1/2020,80.06
11/2/2020,80.28
11/3/2020,80.42
11/4/2020,80.62
11/5/2020,80.89
11/6/2020,81.25
11/7/2020,81.46
11/8/2020,81.68
11/9/2020,81.88
11/10/2020,82.09
11/11/2020,82.25
11/12/2020,82.44
11/13/2020,82.66
11/14/2020,82.79
11/15/2020,83.1
11/16/2020,83.46
11/17/2020,83.81
11/18/2020,84.26
11/19/2020,84.63
11/20/2020,85
11/21/2020,85.43
11/22/2020,85.64
11/23/2020,85.93
11/24/2020,86.17
11/25/2020,86.38
11/26/2020,86.65
11/27/2020,86.84
11/28/2020,87.07
11/29/2020,87.29
11/30/2020,87.42
12/1/2020,87.31
12/2/2020,87.31
12/3/2020,87.36
12/4/2020,87.55
12/5/2020,87.74
12/6/2020,87.85
12/7/2020,87.98
12/8/2020,88.4
12/9/2020,88.69
12/10/2020,88.77
12/11/2020,88.98
12/12/2020,88.94
12/13/2020,89.25
12/14/2020,89.55
12/15/2020,89.81
12/16/2020,90.04
12/17/2020,90.36
12/18/2020,90.54
12/19/2020,90.87
12/20/2020,90.98
12/21/2020,91.11
12/22/2020,91.28
12/23/2020,91.38
12/24/2020,91.51
12/25/2020,91.57
12/26/2020,91.69
12/27/2020,91.79
12/28/2020,91.89
12/29/2020,92.01
