First,Last,Party,State
David,Baker,D,IL
William,Allen,D,OH
Franklin,Pierce,D,NH
Perry,Smith,D,CT
Reuel,Williams,D,ME
Richard,Young,D,IL
William,Roane,D,VA
Wilson,Lumpkin,D,GA
James,Trotter,D,MS
Benjamin,Tappan,D,OH
Felix,Grundy,D,TN
Daniel,Sturgeon,D,PA
Alexander,Anderson,D,TN
Levi,Woodbury,D,NH
Arthur,Bagby,D,AL
Leonard,Wilcox,D,NH
Charles,Atherton,D,NH
Sidney,Breese,D,IL
Walter,Colquitt,D,GA
Edward,Hannegan,D,IN
John,Niles,D,CT
John,Fairfield,D,ME
James,Semple,D,IL
David,Atchison,D,MO
Dixon,Lewis,D,AL
Chester,Ashley,D,AR
Daniel,Dickinson,D,NY
Henry,Foster,D,NY
John,Dix,D,NY
Jesse,Bright,D,IN
Lewis,Cass,D,MI
Jesse,Speight,D,MS
Hopkins,Turney,D,TN
Simon,Cameron,D,PA
Joseph,Chalmers,D,MS
John,Calhoun,D,SC
Benning,Jenness,D,NH
Isaac,Pennybacker,D,VA
Thomas,Rusk,D,TX
Andrew,Butler,D,SC
Pierre,Soule,D,LA
James,Mason,D,VA
James,Bradbury,D,ME
Stephen,Douglas,D,IL
Solomon,Downs,D,LA
Alpheus,Felch,D,MI
Jefferson,Davis,D,MS
Herschel,Johnson,D,GA
Solon,Borland,D,AR
William,Sebastian,D,AR
Henry,Dodge,D,WI
Isaac,Walker,D,WI
Thomas,Fitzgerald,D,MI
William,King,D,AL
Benjamin,Fitzpatrick,D,AL
Augustus,Dodge,D,IA
George,Jones,D,IA
James,Whitcomb,D,IN
James,Shields,D,IL
Jeremiah,Clemens,D,AL
Franklin,Elmore,D,SC
Robert,Barnwell,D,SC
John,Fremont,D,CA
William,Gwin,D,CA
Richard,Brodhead,D,PA
Charles,James,D,RI
Stephen,Mallory,D,FL
Robert,Stockton,D,NJ
John,Weller,D,CA
Stephen,Adams,D,MS
William,Saussure,D,SC
Isaac,Toucey,D,CT
Robert,Charlton,D,GA
David,Meriwether,D,KY
Charles,Cathcart,D,IN
John,Pettit,D,IN
Philip,Allen,D,RI
Josiah,Evans,D,SC
Charles,Stuart,D,MI
John,Thomson,D,NJ
William,Wright,D,NJ
John,Slidell,D,LA
Robert,Johnson,D,AR
Jared,Williams,D,NH
Albert,Brown,D,MS
David,Reid,D,NC
John,Wells,D,NH
Asa,Biggs,D,NC
George,Pugh,D,OH
David,Yulee,D,FL
William,Bigler,D,PA
James,Green,D,MO
Martin,Bates,D,DE
Amos,Nourse,R,ME
James,Harlan,R,IA
Graham,Fitch,D,IN
David,Broderick,D,CA
Simon,Cameron,R,PA
Zachariah,Chandler,R,MI
James,Dixon,R,CT
James,Doolittle,R,WI
Hannibal,Hamlin,R,ME
Preston,King,R,NY
Trusten,Polk,D,MO
James,Simmons,R,RI
Daniel,Clark,R,NH
Andrew,Johnson,D,TN
James,Hammond,D,SC
Thomas,Clingman,D,NC
Arthur,Hayne,D,SC
Henry,Rice,D,MN
James,Shields,D,MN
Matthias,Ward,D,TX
Joseph,Lane,D,OR
Delazon,Smith,D,OR
Henry,Anthony,R,RI
Kinsley,Bingham,R,MI
Thomas,Bragg,D,NC
John,Hemphill,D,TX
James,Grimes,R,IA
Lazarus,Powell,D,KY
John,Eyck,R,NJ
Morton,Wilkinson,R,MN
Henry,Haun,D,CA
Louis,Wigfall,D,TX
Milton,Latham,D,CA
Edward,Baker,R,OR
John,Breckinridge,D,KY
Salmon,Chase,R,OH
Edgar,Cowan,R,PA
Ira,Harris,R,NY
Timothy,Howe,R,WI
Henry,Lane,R,IN
