,ALLJOBS,IAE,4 WEEKS BANK DISCOUNT,RnDbyRev,stocktwitsPosts,twitterPosts,stocktwitsComments,twitterComments,stocktwitsLikes,twitterLikes,stocktwitsImpressions,twitterImpressions,stocktwitsSentiment,twitterSentiment,analystRatingsBuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy,BP Buys,BP Sells,Bipartisan Buy Ratio,Partisan Investing,EnvironmentalScore,SocialScore,GovernanceScore,ESGScore,evToOperatingCashFlow,evToFreeCashFlow,debtToEquity,debtToAssets,netDebtToEBITDA,receivablesTurnover,open,high,low,close,volume,sma,ema,wma,rsi,adx,standardDeviation,BB_percentage,Ichimoku,volume_oscillator,MACD,Social 1 Peers,Social 2 Peers,Social 3 Peers,Technological Peers,Environmental 1 Peers,Environmental 2 Peers,Environmental 3 Peers
2022-01-01,164.46,0.4971400088367549,0.06,0.11930475796921793,0.0,11.0,0.0,197.0,0.0,1259.0,0.0,11392.0,,,28.0,3.0,1.0,0.0,15.0,8.809278176716284e-16,1.0218847442911767e-14,0.07936447333306887,1.0,50.5,58.73,54.34,54.52,80.31287693561532,562.9292922881625,0.8419472675322797,0.2767691755300809,5.98838516298239,4.211087616070608,168.96,169.35,166.56,166.72,47830000.0,170.74649999999997,170.68390319816064,169.94809523809522,43.55544817628143,10.360152453731818,2.5218094198412357,0.11093940009308814,,-6.842372406433695,-0.28335264936731575,6.5,33585.0,0.0,0.09388762378589655,57.16374999999999,58.02125,59.77
2022-01-02,164.05,0.4971400088367549,0.06,0.11930475796921793,2.0,14.0,0.0,103.0,0.0,1363.0,16236.0,45390.0,,,28.0,3.0,1.0,0.0,15.0,4.404639088358142e-16,5.109423721455883e-15,0.07936447333306887,1.0,50.5,58.73,54.34,54.52,80.31287693561532,562.9292922881625,0.8419472675322797,0.2767691755300809,5.98838516298239,4.211087616070608,168.96,169.35,166.56,166.72,47830000.0,170.74649999999997,170.68390319816064,169.94809523809522,43.55544817628143,10.360152453731818,2.5218094198412357,0.11093940009308814,,-6.842372406433695,-0.28335264936731575,11.5,44541.5,0.0,0.09388762378589655,57.16374999999999,58.02125,59.77
2022-01-03,163.51,0.4971400088367549,0.05,0.11930475796921793,12.0,22.0,11.0,112.0,22.0,1010.0,37525.0,5735.0,,,28.0,3.0,1.0,0.0,15.0,2.202319544179071e-16,2.5547118607279416e-15,0.07936447333306887,1.0,50.5,58.73,54.34,54.52,80.31287693561532,562.9292922881625,0.8419472675322797,0.2767691755300809,5.98838516298239,4.211087616070608,167.55,170.7,166.16,170.4,63520000.0,170.792,170.65686479833582,169.91509523809523,48.62120352962731,10.026033191615484,2.506893695392765,0.4618976326141497,,-9.566321449270518,-0.1011162263359846,20.0,193547.5,0.0,0.09388762378589655,57.16374999999999,58.02125,59.77
2022-01-04,163.12,0.4971400088367549,0.06,0.11930475796921793,3.0,25.0,0.0,296.0,3.0,2871.0,8146.0,300776.0,,,28.0,3.0,1.0,0.0,15.0,1.1011597720895355e-16,1.2773559303639708e-15,0.07936447333306887,1.0,50.5,58.73,54.34,54.52,80.31287693561532,562.9292922881625,0.8419472675322797,0.2767691755300809,5.98838516298239,4.211087616070608,170.44,171.4,166.35,167.52,70726000.0,170.5995,170.35811576992288,169.60347619047621,45.27392828671105,9.588696647562937,2.60116411439186,0.21152095883945476,,-8.833530923877225,-0.15380562884852367,7.5,19173.5,0.0,0.09388762378589655,57.16374999999999,58.02125,59.77
2022-01-05,162.81,0.4971400088367549,0.05,0.11930475796921793,2.0,19.0,2.0,173.0,1.0,1477.0,8150.0,352572.0,,,28.0,3.0,1.0,0.0,15.0,5.5057988604476776e-17,6.386779651819854e-16,0.07936447333306887,1.0,50.5,58.73,54.34,54.52,80.31287693561532,562.9292922881625,0.8419472675322797,0.2767691755300809,5.98838516298239,4.211087616070608,166.88,167.13,164.36,164.36,64302000.0,170.00950000000003,169.78686664897785,169.00923809523806,41.93922561586325,9.492812550744157,2.6112381641665667,-0.027187785919306567,,-11.713054834065884,-0.3684629920373612,32.5,182351.0,0.0,0.09388762378589655,57.16374999999999,58.02125,59.77
2022-01-06,162.48,0.4971400088367549,0.04,0.11930475796921793,9.0,19.0,12.0,31.0,6.0,130.0,347.0,41159.0,,,28.0,3.0,1.0,0.0,15.0,16250.25,3.193389825909927e-16,0.5396822366665345,1.0,50.5,58.73,54.34,54.52,80.31287693561532,562.9292922881625,0.8419472675322797,0.2767691755300809,5.98838516298239,4.211087616070608,163.45,164.8,161.94,163.25,51958000.0,169.36400000000003,169.16430792050375,168.3654761904762,40.8273095850592,9.755048648955526,2.606722846794415,-0.07152125606147004,,-10.864854087837694,-0.5424977387105041,32.0,398512.5,0.0,0.09388762378589655,57.16374999999999,58.02125,59.77
2022-01-07,162.27,0.4971400088367549,0.05,0.11930475796921793,10.0,32.0,10.0,100.0,29.0,1109.0,24076.0,65970.0,,,28.0,3.0,1.0,0.0,15.0,8125.125,1.5966949129549635e-16,0.7698411183332672,1.0,50.5,58.73,54.34,54.52,80.31287693561532,562.9292922881625,0.8419472675322797,0.2767691755300809,5.98838516298239,4.211087616070608,163.84,165.24,162.03,162.55,46606000.0,168.78300000000002,168.5343738328367,167.7165238095238,40.12119225478261,9.92135178483737,2.761175655404773,-0.0500534621210978,,-10.53529205274766,-0.6547052816001353,70.0,164536.5,0.0,0.09388762378589655,57.16374999999999,58.02125,59.77
2022-01-08,161.92,0.4971400088367549,0.05,0.11930475796921793,2.0,30.0,0.0,463.0,0.0,3618.0,8179.0,186977.0,,,28.0,3.0,1.0,0.0,15.0,4062.5625,7.983474564774818e-17,0.8849205591666336,1.0,50.5,58.73,54.34,54.52,80.31287693561532,562.9292922881625,0.8419472675322797,0.2767691755300809,5.98838516298239,4.211087616070608,163.84,165.24,162.03,162.55,46606000.0,168.78300000000002,168.5343738328367,167.7165238095238,40.12119225478261,9.92135178483737,2.761175655404773,-0.0500534621210978,,-10.53529205274766,-0.6547052816001353,10.0,26226.5,0.0,0.09388762378589655,57.16374999999999,58.02125,59.77
2022-01-09,162.05,0.4971400088367549,0.05,0.11930475796921793,0.0,30.0,0.0,925.0,0.0,7326.0,0.0,510963.0,,,28.0,3.0,1.0,0.0,15.0,2031.28125,3.991737282387409e-17,0.9424602795833168,1.0,50.5,58.73,54.34,54.52,80.31287693561532,562.9292922881625,0.8419472675322797,0.2767691755300809,5.98838516298239,4.211087616070608,163.84,165.24,162.03,162.55,46606000.0,168.78300000000002,168.5343738328367,167.7165238095238,40.12119225478261,9.92135178483737,2.761175655404773,-0.0500534621210978,,-10.53529205274766,-0.6547052816001353,5.5,9746.5,0.0,0.09388762378589655,57.16374999999999,58.02125,59.77
2022-01-10,162.16,0.4971400088367549,0.05,0.11930475796921793,0.0,24.0,0.0,113.0,0.0,801.0,0.0,73434.0,,,28.0,3.0,1.0,0.0,15.0,1015.640625,1.9958686411937044e-17,0.9712301397916584,1.0,50.5,58.73,54.34,54.52,80.31287693561532,562.9292922881625,0.8419472675322797,0.2767691755300809,5.98838516298239,4.211087616070608,160.59,161.66,156.3,161.49,87798000.0,168.247,167.86348108685226,167.02195238095237,39.04479284364999,10.797312575993251,3.0674046032435904,-0.03676558774015146,,-7.251126729997531,-0.7436738142809005,16.5,74250.5,0.0,0.09388762378589655,57.16374999999999,58.02125,59.77
