,ALLJOBS,IAE,4 WEEKS BANK DISCOUNT,RnDbyRev,stocktwitsPosts,twitterPosts,stocktwitsComments,twitterComments,stocktwitsLikes,twitterLikes,stocktwitsImpressions,twitterImpressions,stocktwitsSentiment,twitterSentiment,analystRatingsBuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy,BP Buys,BP Sells,Bipartisan Buy Ratio,Partisan Investing,EnvironmentalScore,SocialScore,GovernanceScore,ESGScore,evToOperatingCashFlow,evToFreeCashFlow,debtToEquity,debtToAssets,netDebtToEBITDA,receivablesTurnover,open,high,low,close,volume,sma,ema,wma,rsi,adx,standardDeviation,BB_percentage,Ichimoku,volume_oscillator,MACD,Social 1 Peers,Social 2 Peers,Social 3 Peers,Technological Peers,Environmental 1 Peers,Environmental 2 Peers,Environmental 3 Peers
2022-01-01,164.46,0.4971400088367549,0.06,0.20906647217239754,0.0,13.0,0.0,312.0,0.0,2548.0,0.0,6698.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,343.02,343.44,336.27,336.35,12870500.0,332.881,335.80169387926765,336.8576666666666,50.781410515792125,11.295397988643629,9.441822864256677,0.5895262230298278,,-5.962934803132307,1.0390625479198734,1.6666666666666667,2176.6666666666665,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-02,164.05,0.4971400088367549,0.06,0.20906647217239754,0.0,10.0,0.0,192.0,0.0,1577.0,0.0,3718.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,343.02,343.44,336.27,336.35,12870500.0,332.881,335.80169387926765,336.8576666666666,50.781410515792125,11.295397988643629,9.441822864256677,0.5895262230298278,,-5.962934803132307,1.0390625479198734,1.6666666666666665,42743.0,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-03,163.51,0.4971400088367549,0.05,0.20906647217239754,4.0,19.0,0.0,155.0,9.0,1212.0,14758.0,24992.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,338.3,341.08,337.19,338.54,14537900.0,334.466,336.062484938385,337.3966190476191,51.86305604867212,11.06668236655526,7.370910662869282,0.6346795598839033,,-10.455121809670418,0.7027527939529765,6.0,6916.333333333333,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-04,163.12,0.4971400088367549,0.06,0.20906647217239754,0.0,25.0,0.0,217.0,0.0,1475.0,0.0,119693.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,339.95,343.09,331.87,336.53,15998000.0,335.39899999999994,336.1070101823483,337.59319047619056,50.78480977750053,10.538356583340434,6.316761749504257,0.5436284636065463,,-13.488861225506957,0.30885376121922414,8.333333333333334,60429.0,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-05,162.81,0.4971400088367549,0.05,0.20906647217239754,0.0,27.0,0.0,219.0,0.0,1741.0,0.0,53233.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,333.02,335.76,323.84,324.17,20564500.0,335.467,334.9701520697437,336.52376190476195,44.76115647667103,10.412375845547617,6.1868595426112645,0.0550669327671755,,-22.33283851782258,-0.757921053096076,4.333333333333333,30570.666666666664,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-06,162.48,0.4971400088367549,0.04,0.20906647217239754,5.0,23.0,0.0,305.0,0.0,927.0,15208.0,81040.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,322.82,339.17,322.72,332.46,27962800.0,335.56199999999995,334.73108996786334,336.237380952381,49.029482959172604,10.095520026113977,6.125061305815646,0.37659488392021906,,-18.5052286175481,-0.8783241746178618,8.333333333333334,37951.666666666664,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-07,162.27,0.4971400088367549,0.05,0.20906647217239754,3.0,14.0,0.0,36.0,5.0,377.0,37136.0,32623.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,332.74,337.0,328.88,331.79,14722000.0,335.66049999999996,334.4509861614002,335.8781428571428,48.70928286460466,9.794506997652018,6.047275812297638,0.34404147965739035,,-16.572347822331622,-0.9660482938930313,9.666666666666666,51837.0,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-08,161.92,0.4971400088367549,0.05,0.20906647217239754,2.0,8.0,1.0,5.0,0.0,5.0,98.0,45761.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,332.74,337.0,328.88,331.79,14722000.0,335.66049999999996,334.4509861614002,335.8781428571428,48.70928286460466,9.794506997652018,6.047275812297638,0.34404147965739035,,-16.572347822331622,-0.9660482938930313,6.666666666666667,62176.0,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-09,162.05,0.4971400088367549,0.05,0.20906647217239754,0.0,7.0,0.0,40.0,0.0,491.0,0.0,5296.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,332.74,337.0,328.88,331.79,14722000.0,335.66049999999996,334.4509861614002,335.8781428571428,48.70928286460466,9.794506997652018,6.047275812297638,0.34404147965739035,,-16.572347822331622,-0.9660482938930313,7.666666666666667,55052.333333333336,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-10,162.16,0.4971400088367549,0.05,0.20906647217239754,5.0,15.0,0.0,56.0,5.0,224.0,14596.0,24084.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,325.31,328.34,315.43,328.07,24942400.0,335.57649999999995,333.8432731936478,335.15523809523813,46.91846082405253,10.16849608664528,6.139753476321347,0.20208774655417241,,-13.13522895463276,-1.2202520566465245,6.333333333333333,22501.333333333332,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-11,161.99,0.4971400088367549,0.04,0.20906647217239754,6.0,20.0,0.0,163.0,1.0,1186.0,6425.0,155117.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,326.78,334.63,325.28,334.37,16226800.0,335.5704999999999,333.89343765139563,335.04033333333336,50.183496575278504,10.151800864553325,6.140870846223692,0.4523641397777538,,-10.157938131592141,-0.9260366408956618,11.0,36543.66666666667,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-12,161.86,0.4971400088367549,0.04,0.20906647217239754,6.0,32.0,2.0,385.0,6.0,2176.0,22898.0,123852.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,335.18,336.37,330.03,333.26,14104900.0,335.5465,333.8331102560246,334.8202857142858,49.61746864508003,10.036334002052888,6.14891069621279,0.40939027101526776,,-10.3894974067505,-0.7723169522635811,9.333333333333334,100952.33333333333,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-13,161.69,0.4971400088367549,0.05,0.20906647217239754,4.0,67.0,1.0,1838.0,4.0,4048.0,8226.0,83986.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,334.98,335.63,325.76,326.48,14797100.0,334.78749999999997,333.13281404116515,333.95680952380957,46.2624950589651,10.13286888543308,6.282861509694452,0.17780805810154188,,-10.474217186372831,-1.073496324966278,17.0,61295.0,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-14,161.1,0.4971400088367549,0.05,0.20906647217239754,0.0,6.0,0.0,0.0,0.0,3.0,0.0,22926.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,321.79,332.73,321.21,331.9,16868500.0,334.63749999999993,333.0154031801018,333.6818095238095,49.15547034087096,10.434979423752493,6.3141190003040055,0.39435640380855097,,-7.112579652938901,-0.8657166486875476,11.333333333333334,58042.0,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-15,161.09,0.4971400088367549,0.05,0.20906647217239754,0.0,19.0,0.0,69.0,0.0,207.0,0.0,214849.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,321.79,332.73,321.21,331.9,16868500.0,334.63749999999993,333.0154031801018,333.6818095238095,49.15547034087096,10.434979423752493,6.3141190003040055,0.39435640380855097,,-7.112579652938901,-0.8657166486875476,11.333333333333334,58042.0,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
2022-01-16,160.91,0.4971400088367549,0.05,0.20906647217239754,2.0,31.0,0.0,1010.0,0.0,1998.0,14.0,16523.0,,,24.0,1.0,1.0,1.0,17.0,0.0,0.0,0.5,0.5,19.05,33.51,26.68,26.41,51.81556950222603,73.66648894835087,0.111091536607436,0.08357883448703814,-0.18686211384341395,2.3983901987321032,321.79,332.73,321.21,331.9,16868500.0,334.63749999999993,333.0154031801018,333.6818095238095,49.15547034087096,10.434979423752493,6.3141190003040055,0.39435640380855097,,-7.112579652938901,-0.8657166486875476,2.0,7223.0,0.0,0.21408070236327945,62.06666666666666,61.23,64.39166666666667
