,ALLJOBS,IAE,4 WEEKS BANK DISCOUNT,RnDbyRev,stocktwitsPosts,twitterPosts,stocktwitsComments,twitterComments,stocktwitsLikes,twitterLikes,stocktwitsImpressions,twitterImpressions,stocktwitsSentiment,twitterSentiment,analystRatingsBuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy,BP Buys,BP Sells,Bipartisan Buy Ratio,Partisan Investing,EnvironmentalScore,SocialScore,GovernanceScore,ESGScore,evToOperatingCashFlow,evToFreeCashFlow,debtToEquity,debtToAssets,netDebtToEBITDA,receivablesTurnover,open,high,low,close,volume,sma,ema,wma,rsi,adx,standardDeviation,BB_percentage,Ichimoku,volume_oscillator,MACD,Social 1 Peers,Social 2 Peers,Social 3 Peers,Technological Peers,Environmental 1 Peers,Environmental 2 Peers,Environmental 3 Peers
2022-01-01,164.46,0.4971400088367549,0.06,,1.0,21.0,0.0,334.0,0.0,1582.0,6340.0,50551.0,,,13.0,6.0,0.0,1.0,14.0,0.00048079916036258667,2004.2761865557,3.674640837792292e-05,4.304672440416852e-09,73.56,58.83,61.84,64.74,177.31419889502763,298.0278119558909,0.40017498906318355,0.18811418700369284,1.654904351802454,1.543198090692124,338.51,339.36,335.85,336.32,18000800.0,333.11,334.40150260436155,334.54195238095235,53.749844266956934,20.222554047579276,6.911771842299192,0.6131663868567088,,-12.421341662781522,0.7971894187572084,4.0,1234.0,0.0,0.21790021502026255,57.559999999999995,60.23727272727274,64.54545454545455
2022-01-02,164.05,0.4971400088367549,0.06,,1.0,8.0,0.0,3.0,0.0,10.0,0.0,6277.0,,,13.0,6.0,0.0,1.0,14.0,0.00024039958018129333,1002.13809327785,1.8493147500230238e-05,1.291401970401339e-09,73.56,58.83,61.84,64.74,177.31419889502763,298.0278119558909,0.40017498906318355,0.18811418700369284,1.654904351802454,1.543198090692124,338.51,339.36,335.85,336.32,18000800.0,333.11,334.40150260436155,334.54195238095235,53.749844266956934,20.222554047579276,6.911771842299192,0.6131663868567088,,-12.421341662781522,0.7971894187572084,6.333333333333333,23500.333333333332,0.0,0.21790021502026255,57.559999999999995,60.23727272727274,64.54545454545455
2022-01-03,163.51,0.4971400088367549,0.05,,3.0,22.0,0.0,73.0,7.0,223.0,6423.0,14781.0,,,13.0,6.0,0.0,1.0,14.0,0.00012019979009064667,501.069046638925,9.366517061383897e-06,3.874208293966848e-10,73.56,58.83,61.84,64.74,177.31419889502763,298.0278119558909,0.40017498906318355,0.18811418700369284,1.654904351802454,1.543198090692124,335.35,338.0,329.78,334.75,28865100.0,333.697,334.4346928325176,334.69814285714295,52.6334824472166,19.25605482485111,6.516287363215342,0.5393758511289006,,-15.144191912392438,0.45497991937996085,15.0,14779.666666666668,0.0,0.21790021502026255,57.559999999999995,60.23727272727274,64.54545454545455
2022-01-04,163.12,0.4971400088367549,0.06,,0.0,33.0,0.0,656.0,0.0,2963.0,0.0,42262.0,,,13.0,6.0,0.0,1.0,14.0,6.0099895045323334e-05,4250.784523319462,4.690327801536647e-06,1.1622648709528844e-10,73.56,58.83,61.84,64.74,177.31419889502763,298.0278119558909,0.40017498906318355,0.18811418700369284,1.654904351802454,1.543198090692124,334.83,335.2,326.12,329.01,32674300.0,333.83799999999997,333.9180554198969,334.25176190476196,48.737810197912694,18.528556593358793,6.381439179370117,0.3156469027830471,,-16.7642461858025,-0.1593658784236276,14.666666666666666,18980.0,0.0,0.21790021502026255,57.559999999999995,60.23727272727274,64.54545454545455
2022-01-05,162.81,0.4971400088367549,0.05,,3.0,19.0,0.0,86.0,0.0,556.0,6385.0,63403.0,,,13.0,6.0,0.0,1.0,14.0,16250.250030049947,6125.642261659731,0.3631219432161023,3.4868184404869545e-11,73.56,58.83,61.84,64.74,177.31419889502763,298.0278119558909,0.40017498906318355,0.18811418700369284,1.654904351802454,1.543198090692124,325.86,326.07,315.98,316.38,40054300.0,332.91099999999994,332.2477644275258,332.5890952380953,41.60537829315318,18.5011012229203,7.419163632108404,-0.04293268521782046,,-20.171242352666827,-1.3490045859281552,25.666666666666668,222396.0,0.0,0.21790021502026255,57.559999999999995,60.23727272727274,64.54545454545455
2022-01-06,162.48,0.4971400088367549,0.04,,9.0,20.0,8.0,58.0,15.0,697.0,7126.0,260771.0,,,13.0,6.0,0.0,1.0,14.0,8125.125015024973,3062.8211308298655,0.5446805696602527,1.0460693597743866e-11,73.56,58.83,61.84,64.74,177.31419889502763,298.0278119558909,0.40017498906318355,0.18811418700369284,1.654904351802454,1.543198090692124,313.15,318.7,311.49,313.88,39646100.0,331.8565,330.49845352966616,330.7766190476191,40.37428897891373,18.725038671489397,8.47519868498668,-0.016841123883741597,,-16.63605700034919,-2.191085315982788,24.0,119587.0,0.0,0.21790021502026255,57.559999999999995,60.23727272727274,64.54545454545455
2022-01-07,162.27,0.4971400088367549,0.05,,5.0,20.0,4.0,17.0,6.0,267.0,48954.0,31421.0,,,13.0,6.0,0.0,1.0,14.0,4062.5625075124867,1531.4105654149328,0.6354598828823279,3.138446355606163e-12,73.56,58.83,61.84,64.74,177.31419889502763,298.0278119558909,0.40017498906318355,0.18811418700369284,1.654904351802454,1.543198090692124,314.15,316.5,310.09,314.04,32720000.0,330.90349999999995,328.930981764936,329.07980952380956,40.49291095684236,19.013325045131676,9.312081010708612,0.0587316458998994,,-14.312733835575505,-2.5973480206502466,29.666666666666664,51216.666666666664,0.0,0.21790021502026255,57.559999999999995,60.23727272727274,64.54545454545455
2022-01-08,161.92,0.4971400088367549,0.05,,2.0,17.0,0.0,172.0,0.0,1314.0,6400.0,41548.0,,,13.0,6.0,0.0,1.0,14.0,2031.2812537562434,765.7052827074664,0.6808495394933656,9.417721829648516e-13,73.56,58.83,61.84,64.74,177.31419889502763,298.0278119558909,0.40017498906318355,0.18811418700369284,1.654904351802454,1.543198090692124,314.15,316.5,310.09,314.04,32720000.0,330.90349999999995,328.930981764936,329.07980952380956,40.49291095684236,19.013325045131676,9.312081010708612,0.0587316458998994,,-14.312733835575505,-2.5973480206502466,17.666666666666668,98940.0,0.0,0.21790021502026255,57.559999999999995,60.23727272727274,64.54545454545455
2022-01-09,162.05,0.4971400088367549,0.05,,0.0,6.0,0.0,26.0,0.0,98.0,0.0,62607.0,,,13.0,6.0,0.0,1.0,14.0,1015.6406268781217,382.8526413537332,0.7035443677988844,2.8276993117245805e-13,73.56,58.83,61.84,64.74,177.31419889502763,298.0278119558909,0.40017498906318355,0.18811418700369284,1.654904351802454,1.543198090692124,314.15,316.5,310.09,314.04,32720000.0,330.90349999999995,328.930981764936,329.07980952380956,40.49291095684236,19.013325045131676,9.312081010708612,0.0587316458998994,,-14.312733835575505,-2.5973480206502466,16.333333333333332,123906.33333333333,0.0,0.21790021502026255,57.559999999999995,60.23727272727274,64.54545454545455
2022-01-10,162.16,0.4971400088367549,0.05,,6.0,26.0,0.0,300.0,5.0,1882.0,6986.0,24879.0,,,13.0,6.0,0.0,1.0,14.0,507.82031343906084,191.4263206768666,0.7148917819516438,8.506925563473996e-14,73.56,58.83,61.84,64.74,177.31419889502763,298.0278119558909,0.40017498906318355,0.18811418700369284,1.654904351802454,1.543198090692124,309.49,314.72,304.69,314.27,44289500.0,329.48999999999995,327.53469778732307,327.4956666666667,40.67151000230319,19.56572308194061,9.5801946744312,0.11288310162444314,,-10.392462111473085,-2.6987976610494986,27.0,43054.333333333336,0.0,0.21790021502026255,57.559999999999995,60.23727272727274,64.54545454545455
