,ALLJOBS,IAE,4 WEEKS BANK DISCOUNT,RnDbyRev,stocktwitsPosts,twitterPosts,stocktwitsComments,twitterComments,stocktwitsLikes,twitterLikes,stocktwitsImpressions,twitterImpressions,stocktwitsSentiment,twitterSentiment,analystRatingsBuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy,BP Buys,BP Sells,Bipartisan Buy Ratio,Partisan Investing,EnvironmentalScore,SocialScore,GovernanceScore,ESGScore,evToOperatingCashFlow,evToFreeCashFlow,debtToEquity,debtToAssets,netDebtToEBITDA,receivablesTurnover,open,high,low,close,volume,sma,ema,wma,rsi,adx,standardDeviation,BB_percentage,Ichimoku,volume_oscillator,MACD,Social 1 Peers,Social 2 Peers,Social 3 Peers,Technological Peers,Environmental 1 Peers,Environmental 2 Peers,Environmental 3 Peers
2022-01-01,164.46,0.4971400088367549,0.06,,0.0,24.0,0.0,88.0,0.0,344.0,0.0,76025.0,,,14.0,15.0,1.0,1.0,7.0,0.015259742736820093,5.845331028789358e-08,0.9999942621167337,1.0,69.48,63.03,71.19,67.9,431.7417577353522,505.25094761171033,0.49697453567526684,0.29107599921244337,3.4686457638425616,1.7964087000505817,296.74,300.3,293.31,294.11,26652991.0,297.45750000000004,297.5442179641485,295.4473333333333,50.77214785296067,22.095879609881347,12.35949427565707,0.43400337962551366,,-5.812780318148347,-0.34432336161973176,5.0,12177.0,0.0,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334
2022-01-02,164.05,0.4971400088367549,0.06,,0.0,19.0,0.0,188.0,0.0,1170.0,0.0,188744.0,,,14.0,15.0,1.0,1.0,7.0,0.007629871368410046,2.922665514394679e-08,0.9999952157873369,1.0,69.48,63.03,71.19,67.9,431.7417577353522,505.25094761171033,0.49697453567526684,0.29107599921244337,3.4686457638425616,1.7964087000505817,296.74,300.3,293.31,294.11,26652991.0,297.45750000000004,297.5442179641485,295.4473333333333,50.77214785296067,22.095879609881347,12.35949427565707,0.43400337962551366,,-5.812780318148347,-0.34432336161973176,4.666666666666666,3352.0,0.0,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334
2022-01-03,163.51,0.4971400088367549,0.05,,8.0,18.0,3.0,21.0,41.0,111.0,266.0,21143.0,,,14.0,15.0,1.0,1.0,7.0,0.003814935684205023,1.4613327571973395e-08,0.9999956926226383,1.0,69.48,63.03,71.19,67.9,431.7417577353522,505.25094761171033,0.49697453567526684,0.29107599921244337,3.4686457638425616,1.7964087000505817,298.15,307.11,297.85,301.21,39240294.0,297.1715,297.89334006280103,295.8047142857143,52.94031382173704,21.813645852696474,12.202170001684122,0.5806463705965351,,-10.670224208462109,0.010365119325244723,12.666666666666668,15995.333333333332,0.0,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334
2022-01-04,163.12,0.4971400088367549,0.06,,6.0,16.0,4.0,69.0,25.0,445.0,115.0,32747.0,,,14.0,15.0,1.0,1.0,7.0,0.0019074678421025116,7.306663785986698e-09,0.999995931040289,1.0,69.48,63.03,71.19,67.9,431.7417577353522,505.25094761171033,0.49697453567526684,0.29107599921244337,3.4686457638425616,1.7964087000505817,302.77,304.68,283.49,292.9,52715440.0,296.79799999999994,297.41778386634377,295.3979047619048,50.215490100199546,20.964003634324605,12.212870915554618,0.4222275322920264,,-15.329701148293761,-0.2951187687417827,18.0,77750.33333333333,0.0,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334
2022-01-05,162.81,0.4971400088367549,0.05,,14.0,21.0,5.0,132.0,16.0,1282.0,1678.0,61176.0,,,14.0,15.0,1.0,1.0,7.0,0.0009537339210512558,3.653331892993349e-09,0.9999960502491145,1.0,69.48,63.03,71.19,67.9,431.7417577353522,505.25094761171033,0.49697453567526684,0.29107599921244337,3.4686457638425616,1.7964087000505817,289.49,294.16,275.33,276.04,49806388.0,294.38649999999996,295.38180445050153,293.4209523809524,45.24235719725942,19.97021146105605,11.275995421691155,0.10353929795181195,,-19.222366771470377,-1.5403651145392332,13.333333333333332,35773.0,0.0,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334
2022-01-06,162.48,0.4971400088367549,0.04,,7.0,27.0,1.0,166.0,7.0,489.0,15062.0,101559.0,,,14.0,15.0,1.0,1.0,7.0,16250.25047686696,1.8266659464966744e-09,0.9999980251245011,1.0,69.48,63.03,71.19,67.9,431.7417577353522,505.25094761171033,0.49697453567526684,0.29107599921244337,3.4686457638425616,1.7964087000505817,276.4,284.38,270.65,281.78,45418637.0,292.5625,294.08639450283476,292.2203333333334,47.11917159580677,19.188880940207167,10.162189171138271,0.2414562742017716,,-18.30226148548454,-1.8717098285343896,17.333333333333332,45581.666666666664,0.0,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334
2022-01-07,162.27,0.4971400088367549,0.05,,10.0,35.0,2.0,11.0,4.0,212.0,338918.0,414412.0,,,14.0,15.0,1.0,1.0,7.0,8125.12523843348,9.133329732483372e-10,0.9999990125621944,1.0,69.48,63.03,71.19,67.9,431.7417577353522,505.25094761171033,0.49697453567526684,0.29107599921244337,3.4686457638425616,1.7964087000505817,281.41,284.22,270.57,272.47,40993851.0,290.941,292.0276902644696,290.3067619047619,44.51427737006537,18.44944774399588,10.640280024510629,0.07700117400988746,,-19.74865776355066,-2.5641822689386498,18.666666666666668,31656.333333333332,0.0,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334
2022-01-08,161.92,0.4971400088367549,0.05,,1.0,22.0,0.0,100.0,0.0,867.0,0.0,54934.0,,,14.0,15.0,1.0,1.0,7.0,4062.56261921674,4.566664866241686e-10,0.999999506281041,1.0,69.48,63.03,71.19,67.9,431.7417577353522,505.25094761171033,0.49697453567526684,0.29107599921244337,3.4686457638425616,1.7964087000505817,281.41,284.22,270.57,272.47,40993851.0,290.941,292.0276902644696,290.3067619047619,44.51427737006537,18.44944774399588,10.640280024510629,0.07700117400988746,,-19.74865776355066,-2.5641822689386498,145.66666666666666,33669.0,0.0,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334
2022-01-09,162.05,0.4971400088367549,0.05,,0.0,15.0,0.0,20.0,0.0,73.0,0.0,69629.0,,,14.0,15.0,1.0,1.0,7.0,2031.28130960837,2.283332433120843e-10,0.9999997531404643,1.0,69.48,63.03,71.19,67.9,431.7417577353522,505.25094761171033,0.49697453567526684,0.29107599921244337,3.4686457638425616,1.7964087000505817,281.41,284.22,270.57,272.47,40993851.0,290.941,292.0276902644696,290.3067619047619,44.51427737006537,18.44944774399588,10.640280024510629,0.07700117400988746,,-19.74865776355066,-2.5641822689386498,24.0,14931.333333333334,0.0,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334
2022-01-10,162.16,0.4971400088367549,0.05,,17.0,41.0,7.0,145.0,13.0,900.0,6768.0,206218.0,,,14.0,15.0,1.0,1.0,7.0,1015.640654804185,1.1416662165604215e-10,0.999999876570176,1.0,69.48,63.03,71.19,67.9,431.7417577353522,505.25094761171033,0.49697453567526684,0.29107599921244337,3.4686457638425616,1.7964087000505817,265.81,274.69,256.44,274.0,59468095.0,289.54200000000003,290.31076738213915,288.6933333333333,45.039880879630225,18.22083687960113,10.932303325466224,0.1535847177004723,,-17.171692910069677,-2.752451623858222,39.0,73215.66666666667,0.0,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334
