,ALLJOBS,IAE,4 WEEKS BANK DISCOUNT,RnDbyRev,stocktwitsPosts,twitterPosts,stocktwitsComments,twitterComments,stocktwitsLikes,twitterLikes,stocktwitsImpressions,twitterImpressions,stocktwitsSentiment,twitterSentiment,analystRatingsBuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy,BP Buys,BP Sells,Bipartisan Buy Ratio,Partisan Investing,EnvironmentalScore,SocialScore,GovernanceScore,ESGScore,evToOperatingCashFlow,evToFreeCashFlow,debtToEquity,debtToAssets,netDebtToEBITDA,receivablesTurnover,open,high,low,close,volume,sma,ema,wma,rsi,adx,standardDeviation,BB_percentage,Ichimoku,volume_oscillator,MACD,Social 1 Peers,Social 2 Peers,Social 3 Peers,Technological Peers,Environmental 1 Peers,Environmental 2 Peers,Environmental 3 Peers
2022-01-01,164.46,0.4971400088367549,0.06,0.0481764301513567,5.0,77.0,2.0,2135.0,8.0,19780.0,1808.0,85251.0,,,4.0,8.0,6.0,1.0,4.0,4.219111383341668e-12,500.0312500000604,0.004080752728269745,0.5,65.28,54.29,55.77,58.45,231.6008022927241,383.2153296687622,0.22637384477789924,0.10999340103973862,-3.0225098480585255,9.262415054887612,357.81,360.67,351.53,352.26,40733700.0,337.266,344.91309920686274,340.45914285714287,53.09370274897397,18.112634371911696,19.604915557073937,0.6863607037487758,,3.6690962029222787,4.210487047374043,18.333333333333336,13691.666666666668,0.0,307.51148129945796,61.43,61.0125,61.996249999999996
2022-01-02,164.05,0.4971400088367549,0.06,0.0481764301513567,16.0,176.0,3.0,6054.0,22.0,39508.0,294945.0,363101.0,,,4.0,8.0,6.0,1.0,4.0,2.109555691670834e-12,250.0156250000302,0.0020403763641390913,0.5,65.28,54.29,55.77,58.45,231.6008022927241,383.2153296687622,0.22637384477789924,0.10999340103973862,-3.0225098480585255,9.262415054887612,357.81,360.67,351.53,352.26,40733700.0,337.266,344.91309920686274,340.45914285714287,53.09370274897397,18.112634371911696,19.604915557073937,0.6863607037487758,,3.6690962029222787,4.210487047374043,9.5,8430.833333333332,0.0,307.51148129945796,61.43,61.0125,61.996249999999996
2022-01-03,163.51,0.4971400088367549,0.05,0.0481764301513567,217.0,817.0,87.0,40926.0,497.0,319213.0,370846.0,7168613.0,,,4.0,8.0,6.0,1.0,4.0,1.054777845835417e-12,125.0078125000151,0.0010201881820737645,0.5,65.28,54.29,55.77,58.45,231.6008022927241,383.2153296687622,0.22637384477789924,0.10999340103973862,-3.0225098480585255,9.262415054887612,382.58,400.36,378.68,399.93,103931400.0,340.34650000000005,350.1528040443044,346.42714285714294,62.82223482789537,18.738307315146514,23.89867219637944,1.1075108651139864,,5.036691776527481,6.653653534137318,43.833333333333336,122937.0,0.0,307.51148129945796,61.43,61.0125,61.996249999999996
2022-01-04,163.12,0.4971400088367549,0.06,0.0481764301513567,64.0,318.0,40.0,19838.0,164.0,172123.0,14473.0,1106595.0,,,4.0,8.0,6.0,1.0,4.0,5.273889229177085e-13,62.50390625000755,0.0005100940910411011,0.5,65.28,54.29,55.77,58.45,231.6008022927241,383.2153296687622,0.22637384477789924,0.10999340103973862,-3.0225098480585255,9.262415054887612,396.52,402.67,374.35,383.2,100248300.0,342.68950000000007,353.3001560400849,350.50842857142857,58.35134260433024,19.192987428326028,25.62567862028242,0.8852068838411796,,3.4025867109309487,6.784063089082035,66.0,640416.1666666666,0.0,307.51148129945796,61.43,61.0125,61.996249999999996
2022-01-05,162.81,0.4971400088367549,0.05,0.0481764301513567,45.0,204.0,26.0,3856.0,96.0,34564.0,42367.0,552872.0,,,4.0,8.0,6.0,1.0,4.0,2.6369446145885427e-13,31.251953125003777,0.0002550470455247694,0.5,65.28,54.29,55.77,58.45,231.6008022927241,383.2153296687622,0.22637384477789924,0.10999340103973862,-3.0225098480585255,9.262415054887612,382.22,390.11,360.34,362.71,80119800.0,343.29600000000005,354.1963316553149,352.4151428571428,53.44756097349127,19.190902865828978,25.94678369278165,0.6823195773034886,,-0.10457640043229482,5.20368660968221,34.333333333333336,39381.83333333333,0.0,307.51148129945796,61.43,61.0125,61.996249999999996
2022-01-06,162.48,0.4971400088367549,0.04,0.0481764301513567,38.0,269.0,18.0,6532.0,104.0,80279.0,3570.0,819730.0,,,4.0,8.0,6.0,1.0,4.0,1.3184723072942714e-13,15.625976562501888,0.00012752352276660354,0.5,65.28,54.29,55.77,58.45,231.6008022927241,383.2153296687622,0.22637384477789924,0.10999340103973862,-3.0225098480585255,9.262415054887612,359.0,362.67,340.17,354.9,90336600.0,343.225,354.26334768814206,353.5202857142857,51.70418352463949,18.633038485302695,25.912968857311576,0.6097846261868366,,3.2713421718289406,3.4264288922902226,27.666666666666664,59163.5,0.0,307.51148129945796,61.43,61.0125,61.996249999999996
2022-01-07,162.27,0.4971400088367549,0.05,0.0481764301513567,34.0,355.0,16.0,6308.0,76.0,63147.0,21410.0,591451.0,,,4.0,8.0,6.0,1.0,4.0,6.592361536471357e-14,7.812988281250944,6.376176138752062e-05,0.5,65.28,54.29,55.77,58.45,231.6008022927241,383.2153296687622,0.22637384477789924,0.10999340103973862,-3.0225098480585255,9.262415054887612,360.12,360.31,336.67,342.32,84164700.0,343.6110000000001,353.12588600355707,353.4340952380952,48.99451008817785,18.012547553888716,25.83900886257056,0.48782547004214266,,3.853113907127458,1.3080640398319212,33.66666666666667,85738.66666666666,0.0,307.51148129945796,61.43,61.0125,61.996249999999996
2022-01-08,161.92,0.4971400088367549,0.05,0.0481764301513567,10.0,100.0,8.0,4778.0,9.0,41367.0,5721.0,176158.0,,,4.0,8.0,6.0,1.0,4.0,3.2961807682356784e-14,3.906494140625472,3.188088069797916e-05,0.5,65.28,54.29,55.77,58.45,231.6008022927241,383.2153296687622,0.22637384477789924,0.10999340103973862,-3.0225098480585255,9.262415054887612,360.12,360.31,336.67,342.32,84164700.0,343.6110000000001,353.12588600355707,353.4340952380952,48.99451008817785,18.012547553888716,25.83900886257056,0.48782547004214266,,3.853113907127458,1.3080640398319212,8.666666666666668,44107.5,0.0,307.51148129945796,61.43,61.0125,61.996249999999996
2022-01-09,162.05,0.4971400088367549,0.05,0.0481764301513567,10.0,143.0,4.0,32961.0,5.0,773729.0,126750.0,1266949.0,,,4.0,8.0,6.0,1.0,4.0,1.6480903841178392e-14,1.953247070312736,1.5940440353208426e-05,0.5,65.28,54.29,55.77,58.45,231.6008022927241,383.2153296687622,0.22637384477789924,0.10999340103973862,-3.0225098480585255,9.262415054887612,360.12,360.31,336.67,342.32,84164700.0,343.6110000000001,353.12588600355707,353.4340952380952,48.99451008817785,18.012547553888716,25.83900886257056,0.48782547004214266,,3.853113907127458,1.3080640398319212,8.333333333333332,63358.83333333333,0.0,307.51148129945796,61.43,61.0125,61.996249999999996
2022-01-10,162.16,0.4971400088367549,0.05,0.0481764301513567,49.0,120.0,20.0,5802.0,60.0,115213.0,2397.0,361171.0,,,4.0,8.0,6.0,1.0,4.0,8.240451920589196e-15,0.976623535156368,7.97022018082306e-06,0.5,65.28,54.29,55.77,58.45,231.6008022927241,383.2153296687622,0.22637384477789924,0.10999340103973862,-3.0225098480585255,9.262415054887612,333.33,353.03,326.67,352.71,91815000.0,344.29599999999994,353.0862778127421,354.3006666666666,51.21715308880362,17.168246801130923,25.889501424322557,0.5791918761519448,,2.6483841453022574,0.5428545438007526,30.0,107952.33333333334,0.0,307.51148129945796,61.43,61.0125,61.996249999999996
