Date,4 WEEKS BANK DISCOUNT
4/5/2024,5.27
4/4/2024,5.26
4/3/2024,5.27
4/2/2024,5.29
4/1/2024,5.29
3/28/2024,5.29
3/27/2024,5.27
3/26/2024,5.27
3/25/2024,5.28
3/22/2024,5.27
3/21/2024,5.27
3/20/2024,5.27
3/19/2024,5.29
3/18/2024,5.29
3/15/2024,5.29
3/14/2024,5.29
3/13/2024,5.29
3/12/2024,5.29
3/11/2024,5.27
3/8/2024,5.28
3/7/2024,5.28
3/6/2024,5.27
3/5/2024,5.27
3/4/2024,5.28
3/1/2024,5.3
2/29/2024,5.3
2/28/2024,5.29
2/27/2024,5.3
2/26/2024,5.29
2/23/2024,5.29
2/22/2024,5.28
2/21/2024,5.29
2/20/2024,5.29
2/16/2024,5.28
2/15/2024,5.28
2/14/2024,5.28
2/13/2024,5.27
2/12/2024,5.28
2/9/2024,5.28
2/8/2024,5.28
2/7/2024,5.26
2/6/2024,5.27
2/5/2024,5.28
2/2/2024,5.28
2/1/2024,5.28
1/31/2024,5.27
1/30/2024,5.27
1/29/2024,5.27
1/26/2024,5.27
1/25/2024,5.28
1/24/2024,5.27
1/23/2024,5.28
1/22/2024,5.27
1/19/2024,5.28
1/18/2024,5.26
1/17/2024,5.29
1/16/2024,5.29
1/12/2024,5.28
1/11/2024,5.28
1/10/2024,5.27
1/9/2024,5.28
1/8/2024,5.28
1/5/2024,5.28
1/4/2024,5.29
1/3/2024,5.27
1/2/2024,5.28
12/29/2023,5.33
12/28/2023,5.31
12/27/2023,5.28
12/26/2023,5.27
12/22/2023,5.27
12/21/2023,5.27
12/20/2023,5.24
12/19/2023,5.24
12/18/2023,5.25
12/15/2023,5.27
12/14/2023,5.28
12/13/2023,5.26
12/12/2023,5.27
12/11/2023,5.28
12/8/2023,5.28
12/7/2023,5.26
12/6/2023,5.27
12/5/2023,5.28
12/4/2023,5.29
12/1/2023,5.29
11/30/2023,5.29
11/29/2023,5.29
11/28/2023,5.3
11/27/2023,5.3
11/24/2023,5.31
11/22/2023,5.31
11/21/2023,5.28
11/20/2023,5.29
11/17/2023,5.29
11/16/2023,5.29
11/15/2023,5.28
11/14/2023,5.28
11/13/2023,5.29
11/10/2023,5.29
11/9/2023,5.29
11/8/2023,5.28
11/7/2023,5.29
11/6/2023,5.29
11/3/2023,5.29
11/2/2023,5.29
11/1/2023,5.29
10/31/2023,5.29
10/30/2023,5.29
10/27/2023,5.3
10/26/2023,5.3
10/25/2023,5.29
10/24/2023,5.3
10/23/2023,5.31
10/20/2023,5.29
10/19/2023,5.31
10/18/2023,5.3
10/17/2023,5.31
10/16/2023,5.31
10/13/2023,5.33
10/12/2023,5.34
10/11/2023,5.31
10/10/2023,5.33
10/6/2023,5.32
10/5/2023,5.3
10/4/2023,5.29
10/3/2023,5.28
10/2/2023,5.29
9/29/2023,5.29
9/28/2023,5.29
9/27/2023,5.3
9/26/2023,5.3
9/25/2023,5.3
9/22/2023,5.29
9/21/2023,5.29
9/20/2023,5.29
9/19/2023,5.29
9/18/2023,5.29
9/15/2023,5.28
9/14/2023,5.28
9/13/2023,5.28
9/12/2023,5.28
9/11/2023,5.28
9/8/2023,5.28
9/7/2023,5.28
9/6/2023,5.28
9/5/2023,5.27
9/1/2023,5.28
8/31/2023,5.28
8/30/2023,5.29
8/29/2023,5.27
8/28/2023,5.29
8/25/2023,5.29
8/24/2023,5.28
8/23/2023,5.28
8/22/2023,5.27
8/21/2023,5.28
8/18/2023,5.27
8/17/2023,5.28
8/16/2023,5.26
8/15/2023,5.27
8/14/2023,5.28
8/11/2023,5.28
8/10/2023,5.28
8/9/2023,5.25
8/8/2023,5.28
8/7/2023,5.27
8/4/2023,5.27
8/3/2023,5.28
8/2/2023,5.27
8/1/2023,5.28
7/31/2023,5.27
7/28/2023,5.26
7/27/2023,5.27
7/26/2023,5.27
7/25/2023,5.28
7/24/2023,5.26
7/21/2023,5.26
7/20/2023,5.27
7/19/2023,5.17
7/18/2023,5.18
7/17/2023,5.19
7/14/2023,5.2
7/13/2023,5.21
7/12/2023,5.16
7/11/2023,5.16
7/10/2023,5.16
7/7/2023,5.16
7/6/2023,5.15
7/5/2023,5.1
7/3/2023,5.1
6/30/2023,5.08
6/29/2023,5.09
6/28/2023,5
6/27/2023,5
6/26/2023,5.01
6/23/2023,5.01
6/22/2023,5.02
6/21/2023,5
6/20/2023,5.01
6/16/2023,5.02
6/15/2023,5.02
