Date,Price,Partisan Investing,Job Postings,Equity Investment,Risk Free Rate,Twitter Posts,Twitter Impressions,Twitter Sentiment,Peer Twitter Posts,Peer Twitter Impressions,Peer Twitter Sentiment,Investment in R&D,Environmental Score,Social Score,Governance Score,Peer Investments in R&D,Peer Environmental Score,Peer Social Score,Peer Governance Score,Bipartisan Buying,Bipartisan Selling
2022-01-01,144.85,1.0,1.0,1.0,0.011764705882352941,2.0,1.003,,5.333333333333333,4.075,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-8.175573526546591e-14
2022-01-02,144.85,1.0,0.9975069925817828,1.0,0.011764705882352941,2.0,95.439,,4.333333333333333,12.169333333333334,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-4.0877867632732954e-14
2022-01-03,144.99,1.0,0.9942235193968137,1.0,0.009803921568627453,4.0,7.93,,12.333333333333334,17.523,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-2.0438933816366477e-14
2022-01-04,144.4,1.0,0.9918521220965584,1.0,0.011764705882352941,4.0,7.93,,15.333333333333334,97.68333333333334,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-1.0219466908183235e-14
2022-01-05,137.77,1.0,0.9899671652681503,1.0,0.009803921568627453,4.0,20.311,,12.0,41.54466666666666,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-5.1097334540916185e-15
2022-01-06,137.75,1.0,0.9879605983217803,1.0,0.00784313725490196,4.0,4.718,,16.333333333333332,68.46166666666666,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-2.554866727045809e-15
2022-01-07,137.02,1.0,0.9866836920831813,1.0,0.009803921568627453,13.0,140.316,,11.0,28.318,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-1.2774333635229046e-15
2022-01-08,137.02,1.0,0.9845555150188494,1.0,0.009803921568627453,13.0,140.316,,5.666666666666667,30.690333333333335,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-6.387166817614523e-16
2022-01-09,137.02,1.0,0.9853459807856014,1.0,0.009803921568627453,13.0,140.316,,5.666666666666666,10.045666666666666,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-3.193583408807261e-16
2022-01-10,138.67,1.0,0.9860148364343913,1.0,0.009803921568627453,7.0,31.947,,10.666666666666666,24.745666666666665,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-1.5967917044036308e-16
2022-01-11,139.74,1.0,0.984981150431716,1.0,0.00784313725490196,9.0,16.083,,16.666666666666668,85.03,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-7.983958522018154e-17
2022-01-12,141.43,1.0,0.9841906846649642,1.0,0.00784313725490196,12.0,216.372,,18.0,77.745,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-3.991979261009077e-17
2022-01-13,138.59,1.0,0.9831569986622887,1.0,0.009803921568627453,25.0,43.869,,32.333333333333336,77.40933333333334,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-1.9959896305045385e-17
2022-01-14,139.48,1.0,0.9795695001824151,1.0,0.009803921568627453,2.0,0.498,,12.666666666666666,65.518,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-9.979948152522692e-18
2022-01-15,139.48,1.0,0.9795086951234342,1.0,0.009803921568627453,2.0,0.498,,17.0,129.4923333333333,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-4.989974076261346e-18
2022-01-16,139.48,1.0,0.9784142040617779,1.0,0.009803921568627453,2.0,3.38,,12.333333333333332,11.608666666666666,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-2.494987038130673e-18
2022-01-17,139.48,1.0,0.9774413231180834,1.0,0.009803921568627453,15.0,24.252,,16.666666666666664,92.11433333333332,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-1.2474935190653365e-18
2022-01-18,136.0,1.0,0.9772589079411407,1.0,0.009803921568627453,10.0,40.234,,26.33333333333333,51.66733333333334,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-6.237467595326684e-19
2022-01-19,135.12,1.0,0.977076492764198,1.0,0.009803921568627453,22.0,25.648,,33.666666666666664,115.97433333333335,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-3.1187337976633413e-19
2022-01-20,133.31,1.0,0.9768940775872552,1.0,0.009803921568627453,31.0,110.38,,40.333333333333336,210.1266666666667,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-1.559366898831671e-19
2022-01-21,130.35,1.0,0.9787182293566825,1.0,0.009803921568627453,25.0,163.64,,39.333333333333336,219.9066666666667,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-7.796834494158353e-20
2022-01-22,130.35,1.0,0.9773197130001215,1.0,0.009803921568627453,33.0,174.098,,13.666666666666666,56.165,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-3.8984172470791767e-20
2022-01-23,130.35,1.0,0.976346832056427,1.0,0.009803921568627453,12.0,10.541,,18.33333333333333,22.928333333333327,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-1.9492086235395883e-20
2022-01-24,130.8,1.0,0.9753739511127325,1.0,0.009803921568627453,26.0,64.921,,70.33333333333333,317.6793333333333,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-9.746043117697942e-21
2022-01-25,126.93,1.0,0.974401070169038,1.0,0.009803921568627453,15.0,64.262,,23.333333333333336,90.47533333333331,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-4.873021558848971e-21
2022-01-26,129.23,1.0,0.9737930195792289,1.0,0.009803921568627453,36.0,321.062,,25.666666666666668,192.01666666666662,0.0,0.1225056959930052,71.64,54.9,56.46,0.226446527531764,53.30166666666667,57.665,59.428333333333335,0.0,-2.4365107794244854e-21
