Date,Price,Partisan Investing,Job Postings,Equity Investment,Risk Free Rate,Twitter Posts,Twitter Impressions,Twitter Sentiment,Peer Twitter Posts,Peer Twitter Impressions,Peer Twitter Sentiment,Investment in R&D,Environmental Score,Social Score,Governance Score,Peer Investments in R&D,Peer Environmental Score,Peer Social Score,Peer Governance Score,Bipartisan Buying,Bipartisan Selling
2022-01-01,294.11,1.0,1.0,1.0,0.011764705882352941,24.0,76.025,,5.0,12.177,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,0.01525974273682,-5.845331028789358e-08
2022-01-02,294.11,1.0,0.9975069925817828,1.0,0.011764705882352941,19.0,188.744,,4.666666666666666,3.352,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,0.00762987136841,-2.922665514394679e-08
2022-01-03,301.21,1.0,0.9942235193968137,1.0,0.009803921568627453,26.0,21.409,,12.666666666666668,15.995333333333333,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,0.003814935684205,-1.4613327571973395e-08
2022-01-04,292.9,1.0,0.9918521220965584,1.0,0.011764705882352941,22.0,32.862,,18.0,77.75033333333333,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,0.0019074678421025,-7.306663785986698e-09
2022-01-05,276.04,1.0,0.9899671652681503,1.0,0.009803921568627453,35.0,62.854,,13.333333333333332,35.773,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,0.0009537339210512,-3.653331892993349e-09
2022-01-06,281.78,1.0,0.9879605983217803,1.0,0.00784313725490196,34.0,116.621,,17.333333333333332,45.581666666666656,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,16250.25047686696,-1.8266659464966742e-09
2022-01-07,272.47,1.0,0.9866836920831813,1.0,0.009803921568627453,45.0,753.33,,18.666666666666668,31.65633333333333,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,8125.12523843348,-9.133329732483371e-10
2022-01-08,272.47,1.0,0.9845555150188494,1.0,0.009803921568627453,23.0,54.934,,145.66666666666666,33.669,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,4062.56261921674,-4.5666648662416856e-10
2022-01-09,272.47,1.0,0.9853459807856014,1.0,0.009803921568627453,15.0,69.629,,24.0,14.931333333333335,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,2031.28130960837,-2.2833324331208428e-10
2022-01-10,274.0,1.0,0.9860148364343913,1.0,0.009803921568627453,58.0,212.986,,39.0,73.21566666666668,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,1015.640654804185,-1.1416662165604215e-10
2022-01-11,278.17,1.0,0.984981150431716,1.0,0.00784313725490196,28.0,109.465,,89.66666666666667,77.726,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,507.8203274020925,-5.708331082802108e-11
2022-01-12,279.99,1.0,0.9841906846649642,1.0,0.00784313725490196,76.0,92.15,,40.333333333333336,87.166,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,253.91016370104623,-2.8541655414010535e-11
2022-01-13,265.75,1.0,0.9831569986622887,1.0,0.009803921568627453,42.0,1007.951,,67.33333333333333,195.592,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,126.95508185052311,-1.4270827707005267e-11
2022-01-14,269.42,1.0,0.9795695001824151,1.0,0.009803921568627453,24.0,8.186,,38.333333333333336,68.148,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,63.477540925261565,-7.1354138535026345e-12
2022-01-15,269.42,1.0,0.9795086951234342,1.0,0.009803921568627453,10.0,29.917,,18.33333333333333,0.39866666666666667,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,31.738770462630782,-3.567706926751317e-12
2022-01-16,269.42,1.0,0.9784142040617779,1.0,0.009803921568627453,20.0,351.166,,18.0,48.883,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,15.869385231315391,-1.7838534633756586e-12
2022-01-17,269.42,1.0,0.9774413231180834,1.0,0.009803921568627453,21.0,201.32,,13.0,36.739,0.0,,69.48,63.03,71.19,0.1433729017032973,60.83833333333334,61.586666666666666,62.50333333333334,7.934692615657696,-8.919267316878293e-13
