,ALLJOBS,IAE,4 WEEKS BANK DISCOUNT,RnDbyRev,stocktwitsPosts,twitterPosts,stocktwitsComments,twitterComments,stocktwitsLikes,twitterLikes,stocktwitsImpressions,twitterImpressions,stocktwitsSentiment,twitterSentiment,analystRatingsBuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy,BP Buys,BP Sells,Bipartisan Buy Ratio,Partisan Investing,EnvironmentalScore,SocialScore,GovernanceScore,ESGScore,evToOperatingCashFlow,evToFreeCashFlow,debtToEquity,debtToAssets,netDebtToEBITDA,receivablesTurnover,open,high,low,close,volume,sma,ema,wma,rsi,adx,standardDeviation,BB_percentage,Ichimoku,volume_oscillator,MACD,Social 1 Peers,Social 2 Peers,Social 3 Peers,Technological Peers,Environmental 1 Peers,Environmental 2 Peers,Environmental 3 Peers
2022-01-01,164.46,0.4971400088367549,0.06,,0.0,23.0,0.0,194.0,0.0,269.0,0.0,140794.0,,,21.0,6.0,0.0,0.0,11.0,4066.4689941442634,187540.65283984042,0.029516784755019634,5.314410000206429e-07,72.39,54.32,65.28,63.99,63.79843782055104,67.84768767248602,1.7071400767391425,0.3221429676986078,1.9390969786126513,1.8994528987173003,178.09,179.23,177.26,177.57,64062300.0,174.48149999999998,173.49061823986275,176.1322857142857,62.18074447790947,33.776665481824466,4.767036055034617,0.7744436946677608,1.0154226441418215,-11.451833852520425,1.009446159207105,0.0,0.0,0.0,2.352453204230248,62.36272727272728,65.51363636363637,65.49727272727272
2022-01-02,164.05,0.4971400088367549,0.06,,1.0,20.0,21.0,41.0,5.0,123.0,211.0,49927.0,,,21.0,6.0,0.0,0.0,11.0,2033.2344970721317,93770.32641992021,0.025369869015804083,1.5943230002064216e-07,72.39,54.32,65.28,63.99,63.79843782055104,67.84768767248602,1.7071400767391425,0.3221429676986078,1.9390969786126513,1.8994528987173003,178.09,179.23,177.26,177.57,64062300.0,174.48149999999998,173.49061823986275,176.1322857142857,62.18074447790947,33.776665481824466,4.767036055034617,0.7744436946677608,1.0154226441418215,-11.451833852520425,1.009446159207105,0.0,0.0,0.0,2.352453204230248,62.36272727272728,65.51363636363637,65.49727272727272
2022-01-03,163.51,0.4971400088367549,0.05,,5.0,30.0,1.0,272.0,18.0,1378.0,12947.0,103378.0,,,21.0,6.0,0.0,0.0,11.0,1016.6172485360659,46885.163209960105,0.023296411146196308,4.7829690020641914e-08,72.39,54.32,65.28,63.99,63.79843782055104,67.84768767248602,1.7071400767391425,0.3221429676986078,1.9390969786126513,1.8994528987173003,177.83,182.88,177.71,182.01,104487900.0,175.48999999999998,174.30198793130438,176.84928571428568,65.87750753076025,34.464630066404816,4.068304315067888,0.9492407006660254,1.0092960480422188,-9.258781348350539,1.1945246593335932,0.0,0.0,0.0,2.352453204230248,62.36272727272728,65.51363636363637,65.49727272727272
2022-01-04,163.12,0.4971400088367549,0.06,,23.0,134.0,16.0,4193.0,58.0,34132.0,25280.0,597997.0,,,21.0,6.0,0.0,0.0,11.0,508.30862426803293,23442.581604980052,0.02225968221139242,1.4348907020641836e-08,72.39,54.32,65.28,63.99,63.79843782055104,67.84768767248602,1.7071400767391425,0.3221429676986078,1.9390969786126513,1.8994528987173003,182.63,182.94,179.12,179.7,99310400.0,176.20899999999997,174.8160843187992,177.25023809523807,62.53013966428022,35.12233145281678,3.4276666990826268,0.9087702203123632,1.002107913014467,-9.188128458887391,0.9157635604876488,0.0,0.0,0.0,2.352453204230248,62.36272727272728,65.51363636363637,65.49727272727272
2022-01-05,162.81,0.4971400088367549,0.05,,15.0,50.0,4.0,1356.0,17.0,12050.0,21933.0,91149.0,,,21.0,6.0,0.0,0.0,11.0,254.15431213401646,11721.290802490026,0.021741317743990476,4.30467212064181e-09,72.39,54.32,65.28,63.99,63.79843782055104,67.84768767248602,1.7071400767391425,0.3221429676986078,1.9390969786126513,1.8994528987173003,179.61,180.17,174.64,174.92,94537600.0,176.396,174.82598105034214,177.12747619047622,56.29910605449106,34.933500650920806,3.245375787177811,0.7356161060101065,-1.0164000123308365,-6.898074014893243,0.6118984830366916,0.0,0.0,0.0,2.352453204230248,62.36272727272728,65.51363636363637,65.49727272727272
2022-01-06,162.48,0.4971400088367549,0.04,,19.0,37.0,14.0,104.0,18.0,893.0,9283.0,371525.0,,,21.0,6.0,0.0,0.0,11.0,127.07715606700823,5860.645401245013,0.021482135510289505,1.291401650641802e-09,72.39,54.32,65.28,63.99,63.79843782055104,67.84768767248602,1.7071400767391425,0.3221429676986078,1.9390969786126513,1.8994528987173003,172.7,175.3,171.64,172.0,96904000.0,176.24199999999993,174.5568399979286,176.7088095238095,52.90886565211719,34.280599583965156,3.3746697616211274,0.6191336946123388,-1.0164000123308365,-1.3268537623592325,0.5482162773272852,0.0,0.0,0.0,2.352453204230248,62.36272727272728,65.51363636363637,65.49727272727272
2022-01-07,162.27,0.4971400088367549,0.05,,12.0,45.0,7.0,96.0,17.0,925.0,9260.0,411940.0,,,21.0,6.0,0.0,0.0,11.0,63.538578033504116,2930.3227006225065,0.02135254439343902,3.8742050964179935e-10,72.39,54.32,65.28,63.99,63.79843782055104,67.84768767248602,1.7071400767391425,0.3221429676986078,1.9390969786126513,1.8994528987173003,172.89,174.14,171.03,172.17,86709100.0,176.12249999999995,174.32952190288776,176.32099999999997,53.08201100899945,33.56773199956571,3.4729985243302366,0.6253094187342841,-1.0164000123308365,0.6891146562148007,0.6859043414031561,0.0,0.0,0.0,2.352453204230248,62.36272727272728,65.51363636363637,65.49727272727272
2022-01-08,161.92,0.4971400088367549,0.05,,2.0,62.0,1.0,437.0,0.0,3276.0,54.0,350279.0,,,21.0,6.0,0.0,0.0,11.0,31.769289016752058,1465.1613503112533,0.021287748835013776,1.162261673417985e-10,72.39,54.32,65.28,63.99,63.79843782055104,67.84768767248602,1.7071400767391425,0.3221429676986078,1.9390969786126513,1.8994528987173003,172.89,174.14,171.03,172.17,86709100.0,176.12249999999995,174.32952190288776,176.32099999999997,53.08201100899945,33.56773199956571,3.4729985243302366,0.6253094187342841,-1.0164000123308365,0.6891146562148007,0.6859043414031561,0.0,0.0,0.0,2.352453204230248,62.36272727272728,65.51363636363637,65.49727272727272
2022-01-09,162.05,0.4971400088367549,0.05,,0.0,27.0,0.0,286.0,0.0,1932.0,0.0,293181.0,,,21.0,6.0,0.0,0.0,11.0,15.884644508376029,732.5806751556266,0.021255351055801154,3.4867864651798224e-11,72.39,54.32,65.28,63.99,63.79843782055104,67.84768767248602,1.7071400767391425,0.3221429676986078,1.9390969786126513,1.8994528987173003,172.89,174.14,171.03,172.17,86709100.0,176.12249999999995,174.32952190288776,176.32099999999997,53.08201100899945,33.56773199956571,3.4729985243302366,0.6253094187342841,-1.0164000123308365,0.6891146562148007,0.6859043414031561,0.0,0.0,0.0,2.352453204230248,62.36272727272728,65.51363636363637,65.49727272727272
2022-01-10,162.16,0.4971400088367549,0.05,,11.0,41.0,4.0,411.0,28.0,2471.0,39005.0,667729.0,,,21.0,6.0,0.0,0.0,11.0,7.9423222541880145,366.2903375778133,0.021239152166194843,1.0460373844798143e-11,72.39,54.32,65.28,63.99,63.79843782055104,67.84768767248602,1.7071400767391425,0.3221429676986078,1.9390969786126513,1.8994528987173003,169.08,172.5,168.17,172.19,106765600.0,175.75949999999997,174.12575791213655,175.9464761904762,53.10336459666246,32.47179492698903,3.4856225771015428,0.6275077771297691,-1.0151482496382278,3.497160312518911,0.8207291206494853,0.0,0.0,0.0,2.352453204230248,62.36272727272728,65.51363636363637,65.49727272727272
